,round_epochs,val_loss,val_acc,loss,acc,dropout_input,dropout_hidden,reg,lr,epochs
7,150,52.69270324707031,0.6327345371246338,52.68617248535156,0.9833555221557617,0.15,0.13,0.2,0.00023853323044733008,150
253,150,52.163204193115234,0.628742516040802,52.14621353149414,0.9480692148208618,0.24,0.24,0.14,0.00023853323044733008,150
197,200,2.7803783416748047,0.628742516040802,2.6678390502929688,0.6038615107536316,0.09,0.32,0.22,0.004999999999999999,200
26,100,58.283897399902344,0.6247504949569702,58.933773040771484,0.9074566960334778,0.07,0.38,0.16,0.00036840314986403866,100
227,200,3.161587715148926,0.6227545142173767,2.620629072189331,0.8581891059875488,0.25,0.16,0.18,0.003237394014347626,200
250,100,41.18403625488281,0.6207584738731384,41.15762710571289,0.9866844415664673,0.2,0.11,0.09,0.00036840314986403866,100
75,200,3.1597633361816406,0.6167664527893066,2.672161817550659,0.8482024073600769,0.17,0.15,0.18,0.004999999999999999,200
89,200,3.053917407989502,0.6147704720497131,2.881242036819458,0.67643141746521,0.21,0.35000000000000003,0.25,0.003237394014347626,200
156,100,29.685935974121094,0.6127744317054749,29.3627986907959,0.9993342161178589,0.15,0.0,0.08,0.00036840314986403866,100
206,100,3.293179988861084,0.6127744317054749,2.780507802963257,0.8268974423408508,0.2,0.12,0.12,0.004999999999999999,100
51,150,2.6477460861206055,0.6127744317054749,2.176243782043457,0.8695073127746582,0.02,0.03,0.21,0.004999999999999999,150
110,100,38.856483459472656,0.6107784509658813,38.671661376953125,0.9260985255241394,0.14,0.41000000000000003,0.05,0.0005689810202763908,100
139,100,59.822479248046875,0.6107784509658813,60.70915985107422,0.7802929282188416,0.19,0.4,0.14,0.00036840314986403866,100
23,150,2.733283519744873,0.6067864298820496,2.5157856941223145,0.7017310261726379,0.02,0.37,0.23,0.004999999999999999,150
158,150,51.95894241333008,0.598802387714386,51.738243103027344,0.9766977429389954,0.02,0.25,0.11,0.00023853323044733008,150
153,150,57.19675064086914,0.5928143858909607,57.01686096191406,0.9680426120758057,0.21,0.22,0.09,0.00023853323044733008,150
298,150,74.94242095947266,0.5888223648071289,75.61476135253906,0.6691078543663025,0.15,0.45,0.15,0.00023853323044733008,150
65,150,19.296100616455078,0.5868263244628906,18.29608154296875,0.9920106530189514,0.09,0.3,0.02,0.0005689810202763908,150
191,150,3.1659512519836426,0.5868263244628906,2.827274799346924,0.7503328919410706,0.21,0.25,0.15,0.004999999999999999,150
188,200,57.424678802490234,0.5828343033790588,56.89604568481445,0.9913448691368103,0.05,0.11,0.12,0.0001544452104946379,200
57,100,2.972546100616455,0.5808383226394653,2.9310505390167236,0.5126497745513916,0.22,0.41000000000000003,0.24,0.003237394014347626,100
260,100,64.96989440917969,0.5808383226394653,65.80036163330078,0.7330226302146912,0.01,0.48,0.13,0.00036840314986403866,100
90,100,44.14241027832031,0.57485032081604,44.08868408203125,0.9826897382736206,0.03,0.24,0.09,0.00036840314986403866,100
294,100,2.9763340950012207,0.5429141521453857,2.843928813934326,0.5878828167915344,0.17,0.11,0.22,0.004999999999999999,100
99,200,82.57666015625,0.5329341292381287,82.18753814697266,0.9247669577598572,0.01,0.37,0.1,0.0001544452104946379,200
84,200,79.49659729003906,0.5189620852470398,78.58505249023438,0.9600532650947571,0.06,0.3,0.07,0.0001544452104946379,200
164,100,100.18276977539062,0.5189620852470398,100.34577178955078,0.9800266027450562,0.17,0.09,0.12,0.00023853323044733008,100
232,100,132.4523162841797,0.5189620852470398,133.78085327148438,0.9480692148208618,0.23,0.08,0.22,0.00023853323044733008,100
13,200,2.698105812072754,0.5169660449028015,2.621962785720825,0.5213049054145813,0.07,0.48,0.18,0.004999999999999999,200
251,150,126.36613464355469,0.5109780430793762,126.61795806884766,0.959387481212616,0.08,0.14,0.18,0.0001544452104946379,150
103,150,14.442745208740234,0.5009980201721191,13.755950927734375,0.6797603368759155,0.22,0.5,0.01,0.0013572088082974532,150
205,100,129.3062744140625,0.49900200963020325,130.46038818359375,0.7549933195114136,0.24,0.28,0.13,0.00023853323044733008,100
271,100,100.9903335571289,0.49900200963020325,100.809326171875,0.9587216973304749,0.06,0.24,0.08,0.00023853323044733008,100
