,round_epochs,loss,val_acc,acc,val_loss,epochs,reg,dropout_input,dropout_hidden,lr
30,100,3.857924222946167,0.8502994179725647,0.9993342161178589,4.695037364959717,100,0.03333333285714286,0.23333333333333334,0.1,0.001
174,100,5.197033882141113,0.8443113565444946,0.9993342161178589,6.032562255859375,100,0.03333333285714286,0.16666666666666666,0.21544346900318823,0.001
45,100,5.04512357711792,0.8423153758049011,0.9993342161178589,5.8943705558776855,100,0.0,0.2,0.21544346900318823,0.001
96,100,4.596837997436523,0.8303393125534058,0.9980026483535767,5.012911796569824,100,0.03333333285714286,0.23333333333333334,0.046415888336127774,0.001
148,100,24.845075607299805,0.8103792667388916,0.9880159497261047,24.915225982666016,100,0.03333333285714286,0.26666666666666666,0.21544346900318823,0.00046415888336127773
173,100,5.680220603942871,0.8043912053108215,0.995339572429657,6.600401401519775,100,0.23333333,0.06666666666666667,0.21544346900318823,0.001
35,100,4.231609344482422,0.8003991842269897,0.9926764369010925,4.976052284240723,100,0.19999999714285716,0.13333333333333333,0.046415888336127774,0.001
93,100,28.942359924316406,0.7524949908256531,0.889480710029602,28.671249389648438,100,0.23333333,0.36666666666666664,0.21544346900318823,0.00046415888336127773
120,100,25.84136962890625,0.7504990100860596,0.9866844415664673,25.869918823242188,100,0.09999999857142858,0.26666666666666666,0.21544346900318823,0.00046415888336127773
98,100,40.80316925048828,0.7025948166847229,0.9001331329345703,40.349246978759766,100,0.06666666571428571,0.4,0.46415888336127775,0.00046415888336127773
59,100,77.34989929199219,0.6746506690979004,0.9900133013725281,76.23584747314453,100,0.03333333285714286,0.13333333333333333,1.0,0.00046415888336127773
169,100,12.776765823364258,0.6606786251068115,0.9913448691368103,13.417793273925781,100,0.13333333142857143,0.3,0.021544346900318822,0.001
82,100,23.82849884033203,0.6187624931335449,0.9960052967071533,24.381484985351562,100,0.13333333142857143,0.1,0.046415888336127774,0.00046415888336127773
194,100,7.007979393005371,0.5768463015556335,0.7962716221809387,9.027727127075195,100,0.0,0.4666666666666667,0.001,0.001
145,100,45.96933364868164,0.5768463015556335,0.6398136019706726,45.18785095214844,100,0.16666666428571428,0.4666666666666667,0.1,0.00046415888336127773
161,100,25.025531768798828,0.5269461274147034,0.9986684322357178,26.328577041625977,100,0.03333333285714286,0.13333333333333333,0.021544346900318822,0.00046415888336127773
28,100,27.496089935302734,0.5249500870704651,0.8328894972801208,26.91050910949707,100,0.16666666428571428,0.1,2.154434690031882,0.001
90,100,10.900660514831543,0.4770458936691284,0.9993342161178589,14.336958885192871,100,0.0,0.23333333333333334,0.004641588833612777,0.001
48,100,15.052202224731445,0.4770458936691284,0.929427444934845,18.441287994384766,100,0.03333333285714286,0.4,0.004641588833612777,0.001
105,100,121.00033569335938,0.4391217529773712,0.959387481212616,121.15357208251953,100,0.0,0.26666666666666666,0.1,0.00021544346900318845
70,100,153.1105194091797,0.43313372135162354,0.9813581705093384,152.0897674560547,100,0.19999999714285716,0.0,0.21544346900318823,0.00021544346900318845
74,100,12.927302360534668,0.43313372135162354,0.666444718837738,15.769079208374023,100,0.16666666428571428,0.43333333333333335,0.002154434690031882,0.001
92,100,6.722918510437012,0.42315369844436646,0.5719041228294373,6.192421913146973,100,0.06666666571428571,0.4666666666666667,0.00021544346900318845,0.00046415888336127773
104,100,340.47705078125,0.4091816246509552,0.8941411375999451,331.871337890625,100,0.06666666571428571,0.03333333333333333,4.641588833612772,0.00046415888336127773
65,100,15.95574951171875,0.4051896333694458,0.4900133013725281,16.751495361328125,100,0.23333333,0.4666666666666667,0.002154434690031882,0.001
106,100,6.828882694244385,0.4031936228275299,0.9900133013725281,9.820334434509277,100,0.09999999857142858,0.23333333333333334,0.002154434690031882,0.001
167,100,7.014681339263916,0.38323354721069336,0.6557922959327698,10.26029109954834,100,0.19999999714285716,0.4,0.00046415888336127773,0.001
122,100,11.608708381652832,0.3692614734172821,0.5126497745513916,13.533149719238281,100,0.23333333,0.43333333333333335,0.001,0.001
23,100,8.013040542602539,0.3652694523334503,0.4993342161178589,8.947025299072266,100,0.06666666571428571,0.5,0.0001,0.001
137,100,10.165234565734863,0.36127743124961853,0.4260985255241394,9.85917854309082,100,0.19999999714285716,0.4666666666666667,0.00046415888336127773,0.00046415888336127773
67,100,3.5581488609313965,0.35129740834236145,0.9960052967071533,6.650389194488525,100,0.23333333,0.13333333333333333,0.001,0.001
154,100,14.985498428344727,0.34930139780044556,0.32423436641693115,14.643962860107422,100,0.23333333,0.3333333333333333,1.0,0.001
21,100,13.5535888671875,0.34530937671661377,0.9986684322357178,17.904647827148438,100,0.0,0.16666666666666666,0.004641588833612777,0.00046415888336127773
184,100,14.283519744873047,0.34530937671661377,0.9580559134483337,16.842247009277344,100,0.19999999714285716,0.2,0.004641588833612777,0.00046415888336127773
192,100,6.591764450073242,0.341317355632782,0.6984021067619324,7.365358829498291,100,0.06666666571428571,0.36666666666666664,0.001,0.00021544346900318845
187,100,29.629056930541992,0.3333333432674408,0.7816244959831238,30.84931182861328,100,0.09999999857142858,0.4,0.01,0.00046415888336127773
189,100,3.509706735610962,0.3313373327255249,0.9973368644714355,6.6811909675598145,100,0.16666666428571428,0.1,0.001,0.00046415888336127773
41,100,60.38786315917969,0.329341322183609,0.48135820031166077,60.07627487182617,100,0.16666666428571428,0.4666666666666667,0.046415888336127774,0.00046415888336127773
178,100,403.260498046875,0.3273453116416931,0.8388814926147461,402.7391357421875,100,0.03333333285714286,0.16666666666666666,0.21544346900318823,0.0001
86,100,11.663805961608887,0.32135728001594543,0.9986684322357178,16.793228149414062,100,0.16666666428571428,0.0,0.004641588833612777,0.00046415888336127773
38,100,112.4311752319336,0.31536924839019775,0.41078561544418335,109.74139404296875,100,0.09999999857142858,0.4666666666666667,0.046415888336127774,0.00021544346900318845
4,100,6.6911845207214355,0.31137725710868835,0.5206391215324402,7.098135471343994,100,0.03333333285714286,0.43333333333333335,0.0001,0.00021544346900318845
130,100,30.952075958251953,0.3013972043991089,0.989347517490387,35.42992401123047,100,0.0,0.2,0.01,0.00021544346900318845
118,100,43.75874328613281,0.2954091727733612,1.0,46.76873016357422,100,0.09999999857142858,0.0,0.021544346900318822,0.00021544346900318845
49,100,149.6593017578125,0.28742516040802,0.2390146404504776,147.7747802734375,100,0.19999999714285716,0.4666666666666667,0.1,0.00021544346900318845
170,100,3.1614837646484375,0.28742516040802,0.5033289194107056,3.157050371170044,100,0.19999999714285716,0.3333333333333333,0.0001,0.00021544346900318845
185,100,342.811767578125,0.28742516040802,0.2962716519832611,334.04345703125,100,0.03333333285714286,0.43333333333333335,4.641588833612772,0.00046415888336127773
133,100,55.03185272216797,0.28343313932418823,0.2743009328842163,53.790916442871094,100,0.03333333285714286,0.3333333333333333,4.641588833612772,0.001
18,100,0.7965400815010071,0.27744510769844055,0.9946737885475159,4.930166244506836,100,0.23333333,0.03333333333333333,0.00021544346900318845,0.00021544346900318845
66,100,1.7917659282684326,0.27744510769844055,0.9680426120758057,4.909904956817627,100,0.16666666428571428,0.13333333333333333,0.00046415888336127773,0.00021544346900318845
124,100,25.442550659179688,0.27544909715652466,0.35019972920417786,23.961706161499023,100,0.0,0.5,0.004641588833612777,0.00021544346900318845
109,100,10.475456237792969,0.27345308661460876,0.3821571171283722,10.288707733154297,100,0.13333333142857143,0.43333333333333335,0.00046415888336127773,0.00021544346900318845
179,100,136.7786407470703,0.269461065530777,0.45938748121261597,136.4077911376953,100,0.16666666428571428,0.26666666666666666,0.046415888336127774,0.0001
71,100,216.14474487304688,0.2654690742492676,0.9627164006233215,219.06948852539062,100,0.19999999714285716,0.03333333333333333,0.1,0.0001
33,100,54.38993453979492,0.2634730637073517,0.3515312969684601,53.16725158691406,100,0.06666666571428571,0.23333333333333334,4.641588833612772,0.001
143,100,7.245980262756348,0.2614770531654358,0.6544607281684875,12.92492389678955,100,0.13333333142857143,0.0,0.00046415888336127773,0.001
81,100,9.007359504699707,0.2614770531654358,0.3908122479915619,8.318338394165039,100,0.06666666571428571,0.36666666666666664,0.00021544346900318845,0.0001
193,100,411.0108337402344,0.2614770531654358,0.747003972530365,409.9427490234375,100,0.0,0.23333333333333334,0.21544346900318823,0.0001
11,100,15.790613174438477,0.257485032081604,0.3608522117137909,13.601495742797852,100,0.19999999714285716,0.3333333333333333,0.002154434690031882,0.0001
9,100,48.448707580566406,0.2554890215396881,0.5059919953346252,48.90869903564453,100,0.19999999714285716,0.43333333333333335,0.021544346900318822,0.00046415888336127773
31,100,40.71162033081055,0.24750499427318573,0.487350195646286,41.06148910522461,100,0.0,0.36666666666666664,0.01,0.0001
54,100,128.6865692138672,0.24750499427318573,0.8615179657936096,131.2394561767578,100,0.09999999857142858,0.16666666666666666,0.046415888336127774,0.0001
126,100,0.36699023842811584,0.24750499427318573,0.9993342161178589,6.214354515075684,100,0.16666666428571428,0.0,0.0001,0.00021544346900318845
135,100,4.654690742492676,0.24351297318935394,0.7250332832336426,6.287654399871826,100,0.03333333285714286,0.3,0.001,0.00021544346900318845
15,100,16.832324981689453,0.24351297318935394,0.8901464939117432,20.963544845581055,100,0.09999999857142858,0.16666666666666666,0.004641588833612777,0.0001
191,100,143.5594024658203,0.24351297318935394,0.23701730370521545,140.67782592773438,100,0.03333333285714286,0.4666666666666667,0.046415888336127774,0.0001
177,100,4.170928001403809,0.24351297318935394,0.9081224799156189,9.065922737121582,100,0.0,0.23333333333333334,0.001,0.0001
142,100,4.364996433258057,0.23952095210552216,0.8202396631240845,7.0476555824279785,100,0.16666666428571428,0.16666666666666666,0.001,0.0001
84,100,1.5500783920288086,0.23552894592285156,0.8242343664169312,3.630704164505005,100,0.06666666571428571,0.3,0.00021544346900318845,0.00021544346900318845
116,100,715.759033203125,0.2215568870306015,0.31424766778945923,697.0717163085938,100,0.0,0.26666666666666666,10.0,0.00046415888336127773
127,100,409.7694396972656,0.2195608764886856,0.3695073127746582,407.29473876953125,100,0.19999999714285716,0.2,0.21544346900318823,0.0001
151,100,115.29341125488281,0.2195608764886856,0.28095871210098267,112.5956802368164,100,0.0,0.2,10.0,0.001
24,100,12.770528793334961,0.2195608764886856,0.2090545892715454,12.261274337768555,100,0.23333333,0.5,0.0001,0.00021544346900318845
186,100,1279.22314453125,0.21157684922218323,0.24101197719573975,1255.5928955078125,100,0.06666666571428571,0.3,2.154434690031882,0.00021544346900318845
97,100,586.0902709960938,0.21157684922218323,0.5745672583580017,586.0806274414062,100,0.03333333285714286,0.16666666666666666,0.21544346900318823,4.641588833612782e-05
195,100,9.70138168334961,0.20558881759643555,0.6964048147201538,11.754838943481445,100,0.06666666571428571,0.26666666666666666,0.002154434690031882,0.0001
80,100,7.38902473449707,0.20359280705451965,0.3908122479915619,6.234131336212158,100,0.06666666571428571,0.26666666666666666,0.00021544346900318845,4.641588833612782e-05
95,100,343.67962646484375,0.20359280705451965,0.19773635268211365,334.8728942871094,100,0.19999999714285716,0.4666666666666667,4.641588833612772,0.00046415888336127773
13,100,6.822215557098389,0.19760479032993317,0.487350195646286,7.687484264373779,100,0.13333333142857143,0.2,0.00046415888336127773,4.641588833612782e-05
17,100,18.85192108154297,0.19560877978801727,0.42343541979789734,19.53469467163086,100,0.23333333,0.2,0.004641588833612777,0.0001
72,100,2742.37548828125,0.19161677360534668,0.21238349378108978,2691.5244140625,100,0.0,0.3,4.641588833612772,0.00021544346900318845
115,100,2756.655517578125,0.1876247525215149,0.20505991578102112,2705.4189453125,100,0.09999999857142858,0.23333333333333334,4.641588833612772,0.00021544346900318845
12,100,20.397695541381836,0.185628741979599,0.17509986460208893,19.490266799926758,100,0.0,0.5,0.002154434690031882,0.0001
75,100,1535.4832763671875,0.185628741979599,0.22836218774318695,1495.32275390625,100,0.19999999714285716,0.13333333333333333,21.54434690031882,0.00046415888336127773
85,100,4.2791547775268555,0.1816367208957672,0.5426098704338074,5.858414173126221,100,0.16666666428571428,0.16666666666666666,0.0001,4.641588833612782e-05
165,100,18.972087860107422,0.17764471471309662,0.23235686123371124,18.69468116760254,100,0.13333333142857143,0.3333333333333333,0.002154434690031882,4.641588833612782e-05
155,100,2544.199462890625,0.17764471471309662,0.3335552513599396,2535.728759765625,100,0.03333333285714286,0.1,1.0,4.641588833612782e-05
77,100,16.193279266357422,0.17564870417118073,0.16245006024837494,14.892391204833984,100,0.0,0.3333333333333333,0.001,2.1544346900318867e-05
7,100,82.9154052734375,0.17564870417118073,0.3215712308883667,82.51055908203125,100,0.16666666428571428,0.26666666666666666,0.021544346900318822,4.641588833612782e-05
149,100,1202.8314208984375,0.17365269362926483,0.37217044830322266,1199.1993408203125,100,0.09999999857142858,0.13333333333333333,0.46415888336127775,4.641588833612782e-05
88,100,308.2975158691406,0.16766467690467834,0.15379494428634644,302.9623107910156,100,0.19999999714285716,0.43333333333333335,0.46415888336127775,0.00021544346900318845
119,100,164.04306030273438,0.16566866636276245,0.12117177248001099,161.20021057128906,100,0.13333333142857143,0.43333333333333335,0.046415888336127774,4.641588833612782e-05
158,100,12.175680160522461,0.16167664527893066,0.18974700570106506,11.764848709106445,100,0.09999999857142858,0.26666666666666666,0.0001,2.1544346900318867e-05
108,100,244.55392456054688,0.15768462419509888,0.1384820193052292,238.77926635742188,100,0.16666666428571428,0.2,21.54434690031882,0.001
196,100,692.0203857421875,0.15568862855434418,0.1917443424463272,689.5004272460938,100,0.23333333,0.13333333333333333,0.21544346900318823,2.1544346900318867e-05
43,100,3531.43115234375,0.15568862855434418,0.11584553867578506,3497.09814453125,100,0.13333333142857143,0.3333333333333333,2.154434690031882,0.0001
25,100,13.983718872070312,0.1516966074705124,0.41544607281684875,15.188118934631348,100,0.13333333142857143,0.13333333333333333,0.002154434690031882,2.1544346900318867e-05
1,100,18.072118759155273,0.1516966074705124,0.08655126392841339,16.589845657348633,100,0.09999999857142858,0.5,0.001,4.641588833612782e-05
46,100,5904.677734375,0.1516966074705124,0.1171770989894867,5794.94970703125,100,0.19999999714285716,0.26666666666666666,10.0,0.00021544346900318845
19,100,88.96574401855469,0.1516966074705124,0.1431424766778946,88.05086517333984,100,0.19999999714285716,0.3,0.021544346900318822,2.1544346900318867e-05
134,100,11.633968353271484,0.1457085758447647,0.22436751425266266,11.495200157165527,100,0.13333333142857143,0.23333333333333334,0.00021544346900318845,2.1544346900318867e-05
37,100,176.56129455566406,0.13772454857826233,0.14713715016841888,175.94451904296875,100,0.03333333285714286,0.23333333333333334,0.046415888336127774,1e-05
