round_epochs,val_loss,val_acc,loss,acc,dropout_input,dropout_hidden,reg,lr,epochs
100,31101908.0,0.049900200217962265,3623734.75,0.07256990671157837,0.2,0.0,1000.0,100.0,100
100,10899.4814453125,0.053892213851213455,11167.0126953125,0.9154460430145264,0.1,0.2,1000.0,0.001,100
100,44.01375198364258,0.05189620703458786,44.507362365722656,0.05259653925895691,0.1,0.4,100.0,0.1,100
100,27.217966079711914,0.0359281450510025,25.479536056518555,0.7816244959831238,0.0,0.4,0.01,0.0001,100
100,6.340548515319824,0.10179640352725983,3.2645933628082275,0.9966710805892944,0.2,0.2,0.01,0.01,100
100,57.83725357055664,0.0738522931933403,39.996482849121094,0.1604527235031128,0.2,0.0,0.01,10.0,100
100,115189.078125,0.04391217604279518,39.91954040527344,0.059254325926303864,0.0,0.2,0.01,1000.0,100
100,5935900.0,0.05588822439312935,362363.3125,0.054593876004219055,0.2,0.2,100.0,1000.0,100
100,365663.71875,0.045908182859420776,366.05218505859375,0.0699067935347557,0.0,0.0,0.1,1000.0,100
100,111.5045166015625,0.0379241518676281,111.08614349365234,1.0,0.2,0.0,10.0,0.001,100
100,1160900480.0,0.05189620703458786,36241312.0,0.05725698918104172,0.0,0.2,10000.0,1000.0,100
100,42146.05859375,0.053892213851213455,36247.2734375,0.0565912127494812,0.1,0.4,10.0,100.0,100
100,5.082392692565918,0.053892213851213455,1.9234349727630615,1.0,0.0,0.0,0.1,0.001,100
100,529783.6875,0.06986027956008911,529783.6875,0.06258322298526764,0.0,0.4,10000.0,1.0,100
100,4.946831226348877,0.05988023802638054,1.7469747066497803,1.0,0.1,0.0,0.1,0.001,100
100,113755.484375,0.049900200217962265,116505.3125,0.7430093288421631,0.0,0.0,10000.0,0.001,100
100,58003.109375,0.04790419340133667,36252.96875,0.05525965243577957,0.0,0.4,10.0,100.0,100
100,5599600128.0,0.05189620703458786,3622282.25,0.0565912127494812,0.1,0.4,1000.0,10000.0,100
100,1618164.75,0.0379241518676281,1631572.5,0.053262315690517426,0.0,0.2,1000.0,0.0001,100
100,5.552340030670166,0.0758483037352562,2.4452357292175293,1.0,0.1,0.2,0.01,0.01,100
100,4744.390625,0.05189620703458786,3630.56640625,0.07656458020210266,0.0,0.0,1.0,100.0,100
